UDP_ID,SKU_ID,Sum of Sales,ProductName,Manu,IS PL?,Current Sales Rank,Suggested UDP Rank,July- Pageviews,Aug- Pageviews,Comments
1307,555721,1051290.311,"Tata 1mg Women's Multivitamin, Zinc, Vitamin C, Calcium, Vitamin D, and Iron  Immunity Booster Tablet",Tata 1mg Healthcare Solutions Private Limited,1,3,1,,,
1307,551156,602624.4237,Tata 1mg Biotin + Tablet,Tata 1mg Healthcare Solutions Private Limited,1,6,2,,,
1307,503408,411422.2655,"Tata 1mg Hair, Skin & Nails Supreme Collagen, Biotin, Zinc, Iron and Vitamin B Capsule",Tata 1mg Healthcare Solutions Private Limited,1,12,3,,,
1307,695704,201983.0226,"Tata 1mg Women's Multivitamin, Zinc, Vitamin C, Calcium, Vitamin D, and Iron  Immunity Booster Tablet",Tata 1mg Healthcare Solutions Private Limited,1,37,4,,,
1314,503409,760143.2655,"Tata 1mg Multivitamin Supreme, Zinc, Calcium and Vitamin D Immunity Booster Capsule",Tata 1mg Healthcare Solutions Private Limited,1,1,1,,,
1315,503411,1735788.537,Tata 1mg Salmon Omega 3 Fish Oil Capsule,Tata 1mg Healthcare Solutions Private Limited,1,1,1,,,
1315,536094,950151.1695,"Tata 1mg Calcium + Vitamin D3, Zinc, Magnesium and Alfalfa Tablets for Joint Health & Immunity",Tata 1mg Healthcare Solutions Private Limited,1,8,2,,,
1315,503409,760143.2655,"Tata 1mg Multivitamin Supreme, Zinc, Calcium and Vitamin D Immunity Booster Capsule",Tata 1mg Healthcare Solutions Private Limited,1,10,4,,,
1316,465556,253581.3571,1mg Shilajit Pure Natural Extract 500mg Capsule,Tata 1mg Healthcare Solutions Private Limited,1,4,1,,,
1317,723271,760155.5678,Tata 1mg Digital Thermometer,Tata 1mg Healthcare Solutions Private Limited,1,3,1,,12,
1317,635359,133313.6071,Tata 1mg Cold Pressed Karela Jamun Juice Supports Healthy Blood Sugar Levels Enriched with Jamun Seed Extract,Tata 1mg Healthcare Solutions Private Limited,1,16,4,,12,
